AlarmCode;AlarmDescription(it);AlarmDescription(en);AlarmDescription(Pl);Instructions(it);Instructions(en);Instructions(Pl);ZoneDescription(it);ZoneDescription(en);ZoneDescription(Pl);VariabileAllarme;Gravita;CodicePosizione;CodiceCategoria
0000_00;Carro 1 allarme conteggio salita-discesa;Hoist 1 Up-Down counter error;;Controlla Finecorsa Carro Alto - Basso - Conteggio;Check hoist up down and counter limit switch;;Carro 1;Hoist 1;wciągnik 1;All_0000_00;3;;Carro
0000_01;Carro 1 manca finecorsa alto o basso in traslazione;Hoist 1 translation up or down limit switch missing;;Controlla finecorsa Carro Alto - Basso;Check hoist up down limit switch;;Carro 1;Hoist 1;wciągnik 1;All_0000_01;3;;Carro
0000_02;Carro 1 collisione avanti;Hoist 1 collision forward;;Controlla finecorsa collisione - sistema conteggio posizione;Check collision limit switch- position counting system;;Carro 1;Hoist 1;wciągnik 1;All_0000_02;3;;Carro
0000_03;Carro 1 extracorsa indietro;Hoist 1 collision backward;;Controlla finecorsa collisione - sistema conteggio posizione;Check collision limit switch- position counting system;;Carro 1;Hoist 1;wciągnik 1;All_0000_03;3;;Carro
0000_04;Carro 1 allarme inverter;Hoist 1 inverter error;;Controlla inverter movimentazione carro;Check hoist movimentation inverter;;Carro 1;Hoist 1;wciągnik 1;All_0000_04;3;;Carro
0000_05;Carro 1 allarme inverter bacinella;Hoist 1 basin inverter error;;Controlla inverter movimentazione bacinella;Check basin movimentation inverter;;Carro 1;Hoist 1;wciągnik 1;All_0000_05;3;;Carro
0000_06;Carro 1 errore conteggio posizione;Hoist 1 counting position error;;Controlla posizione carro;Check hoist position;;Carro 1;Hoist 1;wciągnik 1;All_0000_06;3;;Carro
0000_07;Carro 1 errore dispositivo conteggio posizione;Hoist 1 counting position device error;;Controlla dispositivo conteggio traslazione carro;Check hoist translation counting device;;Carro 1;Hoist 1;wciągnik 1;All_0000_07;3;;Carro
0000_08;Carro 1 timeout salita o discesa;Hoist 1 up or down timeout;;Controlla movimento salita o discesa carro;Check hoist descent or ascent movement;;Carro 1;Hoist 1;wciągnik 1;All_0000_08;3;;Carro
0000_09;Carro 1 timeout traslazione;Hoist 1 translation timeout;;Controlla movimento traslazione;Check translation movement;;Carro 1;Hoist 1;wciągnik 1;All_0000_09;3;;Carro
0000_10;Carro 1 manca finecorsa centro vasca;Hoist 1 not in tank center aligned;;Controlla posizione carro e finecorsa;Check hoist position;;Carro 1;Hoist 1;wciągnik 1;All_0000_10;3;;Carro
0000_11;Carro 1 discesa su posizione occupata;Hoist 1 descent on busy position;;Controlla posizione carro e fotocellula vasca occupata;Check hoist and busy tank photo-cell position;;Carro 1;Hoist 1;wciągnik 1;All_0000_11;3;;Carro
0000_12;Carro 1 limite extracorsa superiore;Hoist 1 up overrun limit;;Controlla Finecorsa Carro Alto - Basso - Conteggio;Check hoist counting high - low limit switch;;Carro 1;Hoist 1;wciągnik 1;All_0000_12;3;;Carro
0000_13;Carro 1 limite extracorsa inferiore;Hoist 1 down overrun limit;;Controlla Finecorsa Carro Alto - Basso - Conteggio;Check hoist counting high - low limit switch;;Carro 1;Hoist 1;wciągnik 1;All_0000_13;3;;Carro
0000_14;Carro 1 bloccato da coperchi;Hoist 1 blocked by covers;;Controlla Finecorsa e movimento coperchi;Check limit switch and covers movement;;Carro 1;Hoist 1;wciągnik 1;All_0000_14;3;;Carro
0000_15;Carro 1 bloccato da agitazione;Hoist 1 blocked by movement;;Controlla Finecorsa e movimento agitazione;Check limit switch and movement;;Carro 1;Hoist 1;wciągnik 1;All_0000_15;3;;Carro
0002_00;Carro 1 timeout apertura bacinella;Hoist 1 basin opening timeout;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 1;Hoist 1;wciągnik 1;All_0002_00;3;;Carro
0002_01;Carro 1 timeout chiusura bacinella;Hoist 1 basin closing timeout;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 1;Hoist 1;wciągnik 1;All_0002_01;3;;Carro
0002_02;Carro 1 manca finecorsa bacinella;Hoist 1 basin limit switch missing;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 1;Hoist 1;wciągnik 1;All_0002_02;3;;Carro
0002_03;Carro 1 ST movimentazione telai;Hoist 1 timeout variable axis left;;Verificare lÃ¢ÂÂalimentatore 12Vdc;Check limit switch and variable axis movement;;Carro 1;Hoist 1;wciągnik 1;All_0002_03;3;;Carro
0002_04;Carro 1 intervenuto antiribaltamento 1;Hoist 1 anti-rollover 1;;Controlla finecorsa;Check limit switch;;Carro 1;Hoist 1;wciągnik 1;All_0002_04;3;;Carro
